readratio,writeratio,run,benchmark,tag,ts_start,ts_end,read_bw_gb,write_bw_gb,read_bw_wall_gb,write_bw_wall_gb,wall_s,read_bw_std,write_bw_std,read_bw_std_pct,write_bw_std_pct
60,40,4,readwrite_random,unrepl-firsttouch,1788257496.3751876,1788257547.068467,42.621763568,27.308994054,42.514072022075204,27.239992972106783,30.079,0.08325820988799999,0.050709461157,0.19979670180742265,0.1899631026845069
60,40,5,readwrite_random,unrepl-firsttouch,1788257550.3289936,1788257601.0065382,40.430508925,28.138906753,40.33505565683504,28.0734086831377,30.073,0.057905327261,0.061068268873,0.14653660800237384,0.22193444221026734
60,40,1,readwrite_random,unrepl-interleaved,1788257604.1540651,1788257654.8635302,45.552167421,29.013287506,45.42951590519562,28.935167761725896,30.083,0.088230587715,0.069202755945,0.1981459653361088,0.24397018261224662
60,40,2,readwrite_random,unrepl-interleaved,1788257658.072702,1788257708.7796805,47.177384539,30.886044162,47.037862135442275,30.795728090383466,30.094,0.081721246287,0.062685478513,0.17715692325495608,0.20750113665868497
60,40,3,readwrite_random,unrepl-interleaved,1788257711.859664,1788257762.540264,45.98205012,30.394546897,45.858249353764336,30.313723770915736,30.085,0.084856014763,0.060925340105,0.1887772766333797,0.2048857609295235
60,40,4,readwrite_random,unrepl-interleaved,1788257765.776858,1788257816.497518,45.812141013,28.687683221,45.672093929755775,28.59903213158332,30.095,0.08093014182800001,0.076747606045,0.1807378478846581,0.2735428171005617
60,40,5,readwrite_random,unrepl-interleaved,1788257819.5601618,1788257870.2652326,45.750624505,31.511493876,45.59560976667553,31.405771684294447,30.104,0.07331897399,0.08345235074,0.16396095816778977,0.2707552745410533
50,50,1,readwrite_random,default,1788214776.8047602,1788214827.381224,36.100733252,37.154695593,36.017903119475946,37.069447231470086,30.073,0.07573342847,0.081985341192,0.21446350298055522,0.22575947179341646
50,50,2,readwrite_random,default,1788214830.5092816,1788214881.0954971,33.76484533,33.776676757,33.68288909725686,33.695814888379054,30.075,0.055480754968,0.062021539269,0.16812258131647528,0.18780058414618167
50,50,3,readwrite_random,default,1788214884.2148566,1788214934.8171363,36.168339138,35.190792191,36.064959812815744,35.09020697048657,30.088,0.087609987278,0.061368669931,0.24773391564363467,0.1783727769093051
