tag,readratio,writeratio,benchmark,read_bw_gb,write_bw_gb,read_bw_std,write_bw_std,read_bw_wall_gb,write_bw_wall_gb,read_bw_wall_std,write_bw_wall_std,wall_s,nb_runs
default,30,70,readwrite_random,18.1396589368,43.1905940006,1.3169729119291893,2.7772560688678363,18.080230770589047,43.04954284180078,1.3208667056278551,2.787623216500104,30.102600000000002,5
interleaved,30,70,readwrite_random,19.9289925104,47.004044447800005,0.2568341401113078,0.5833709519109307,19.869133823362002,46.86279072295399,0.2569413198851981,0.5765096740416773,30.092599999999997,5
numabalancing,30,70,readwrite_random,18.3033154624,44.244035657400005,1.764217892688182,5.316878524621678,18.2488281650713,44.11370528599276,1.760375472812797,5.306129145760517,30.092599999999997,5
repl,30,70,readwrite_random,6.016998071800001,2.2506150632,0.5332465655225697,0.02493884936500593,6.004887496870105,2.246098571039769,0.5312867437879304,0.025474805435168016,30.062599999999996,5
unrepl-bound,30,70,readwrite_random,11.6633316676,29.351069864,0.6606770203874996,0.1336426782278001,11.62051501102228,29.24403848433832,0.6549222168385531,0.12973427657675626,30.1128,5
unrepl-firsttouch,30,70,readwrite_random,19.4870379372,45.3020353322,0.6985357415303658,0.9023780064922956,19.43604006078318,45.1850354143233,0.6940126876852645,0.8916460567549479,30.080599999999997,5
unrepl-interleaved,30,70,readwrite_random,20.549955741799998,46.340353721,0.37736106029034633,0.3415506903003602,20.495185648870613,46.21829460773513,0.3774998459727748,0.33121735279623443,30.082,5
default,20,80,readwrite_random,12.8448684316,50.2684058168,0.23552048255581295,2.0594119951387904,12.807845858688182,50.12632793800799,0.2425625388170804,2.070245745285037,30.0884,5
interleaved,20,80,readwrite_random,13.4947426868,50.4577729846,0.7202796935390375,1.5266923955827796,13.456119415793307,50.3178170080943,0.7125781305505047,1.5453940849954362,30.087200000000003,5
numabalancing,20,80,readwrite_random,12.6684991742,49.8894994412,0.41525156986098516,2.0510151788723845,12.633279549086103,49.752054215858344,0.4166283572534065,2.0507577718980787,30.0862,5
repl,20,80,readwrite_random,2.7082005622,2.6636585052,0.091959210333048,0.01921267113550392,2.7026773101607136,2.6582585011225808,0.09141790498495592,0.019951769682972933,30.063200000000002,5
unrepl-bound,20,80,readwrite_random,7.6242057524,31.027900068399997,0.48325434268977796,0.11034517741245085,7.592053053479772,30.89795056046524,0.47982033584636047,0.11274270020624362,30.1296,5
unrepl-firsttouch,20,80,readwrite_random,12.508342442,50.8856393316,0.6498683393823722,1.0805321721174035,12.475810072179947,50.75596949626026,0.6496080540326037,1.0918981666287308,30.080000000000002,5
unrepl-interleaved,20,80,readwrite_random,12.983338839800002,51.531323228400005,0.435252096809751,0.4912888737927303,12.946479668339524,51.38636739069975,0.4337905343400776,0.4816206046689364,30.0876,5
default,10,90,readwrite_random,5.660918814,54.9547500246,0.3716247242209178,1.7575195846028198,5.642336536394713,54.77563616553783,0.3718086527591897,1.7719113959276973,30.1014,5
interleaved,10,90,readwrite_random,6.0748957908,55.710272358400005,0.43111124548444035,0.5440244092353088,6.056984689911948,55.54817864542978,0.42868217235509487,0.5535734840870312,30.090600000000002,5
numabalancing,10,90,readwrite_random,5.9308253712,55.196845116400006,0.2357649784733068,1.2227174425998575,5.912971249180115,55.03300175804552,0.23640571210315978,1.22662178062633,30.092399999999998,5
repl,10,90,readwrite_random,0.9951254152000001,3.1820576182,0.014841118068778197,0.029311535052414774,0.9934120754673372,3.176618011797582,0.014965165343254098,0.029603352141417818,30.0536,5
unrepl-bound,10,90,readwrite_random,3.2772811714,32.294620427400005,0.14602160741651055,0.09353752766641761,3.264367668444753,32.169633559473624,0.14452737969576535,0.09712667912629466,30.1204,5
unrepl-firsttouch,10,90,readwrite_random,5.76599339,53.7454098382,0.4779169261889115,1.2985245028743186,5.7469618234230335,53.56986471298643,0.4775862399566671,1.319152505699741,30.1014,5
unrepl-interleaved,10,90,readwrite_random,6.0107672156,55.8206520016,0.12763123486233974,0.3741099927469484,5.9920395182298565,55.64978002384724,0.12518861510968415,0.3972149569577246,30.095,5
