label,dataset,runner_name,tag,run_id,recall,total_time,qps,start_time,end_time,warmup,samples,local_pct,local_pct_skt0,local_pct_skt1,local_pct_skt2,local_pct_skt3,ipc,inst,inst_skt0,inst_skt1,inst_skt2,inst_skt3,afreq,freq,cpu_balance,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_read_gb_skt2,mem_read_gb_skt3,mem_write_gb_skt0,mem_write_gb_skt1,mem_write_gb_skt2,mem_write_gb_skt3,data_mem_gb,data_mem_gb_node0,data_mem_gb_node1,data_mem_gb_node2,data_mem_gb_node3,pagetable_mb,pagetable_mb_node0,pagetable_mb_node1,pagetable_mb_node2,pagetable_mb_node3,tma_l3_bound,tma_dram_bound,tma_l1_bound,tma_store_bound,warmup_s
locality,gist-960-euclidean,usearch,firsttouch,50,0.97813,0.6201983670000573,1612.3873476756637,2026-09-04T20:32:42.059756,2026-09-04T20:32:42.680002,False,1,25.0,26.0,24.0,25.0,25.0,0.4,10335.83,2683.28,2504.15,2527.49,2620.91,1.0,0.1,0.9332421513967979,0.1,18.88,16.67,0.0016,90.5332421875,149.344716796875,54.166666666666664,32.75,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
locality,gist-960-euclidean,usearch,firsttouch,51,0.97813,0.6006544659999236,1664.8506863846865,2026-09-04T20:32:42.726164,2026-09-04T20:32:43.326847,False,1,25.0,25.0,25.0,25.0,26.0,0.39,11930.41,2924.49,3002.93,2889.88,3113.1,1.0,0.11,0.9282965532748708,0.1,21.76,19.31,0.0016,99.689443359375,162.914267578125,59.333333333333336,36.166666666666664,131.883193359375,121.8787109375,10.0044921875,24.962353515625,32.326171875,28.442744140625,36.147431640625,2.151416015625,2.425029296875,2.35931640625,3.06873046875,2.5605812072753906,0.4593963623046875,0.5199508666992188,0.5280303955078125,1.0532035827636719,15.515625,4.6015625,1.7265625,2.3671875,6.8203125,6.6,33.1,2.0,0.2,0.0
locality,gist-960-euclidean,usearch,firsttouch,53,0.97813,0.5960555359999944,1677.6960192514837,2026-09-04T20:32:44.025511,2026-09-04T20:32:44.621593,False,1,25.0,25.0,25.0,25.0,25.0,0.4,10832.11,2679.73,2715.05,2647.45,2789.88,1.0,0.1,0.9489476249874546,0.1,19.79,17.48,0.0016,89.636416015625,147.4652734375,53.416666666666664,32.416666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
locality,gist-960-euclidean,usearch,firsttouch,54,0.97813,0.6063617109999768,1649.18064887517,2026-09-04T20:32:44.667758,2026-09-04T20:32:45.274163,False,1,25.0,25.0,25.0,25.0,25.0,0.4,11839.59,3025.7,2992.81,2835.13,2985.95,1.0,0.11,0.9370162276498002,0.1,21.51,19.05,0.0016,99.896982421875,164.0326171875,59.583333333333336,36.083333333333336,140.0711328125,129.4177734375,10.653369140625,26.521533203125,34.331279296875,30.17484375,38.39009765625,2.318046875,2.602021484375,2.461748046875,3.27154296875,2.5606460571289062,0.45941925048828125,0.5199623107910156,0.5280418395996094,1.05322265625,15.515625,4.6015625,1.7265625,2.3671875,6.8203125,7.2,33.0,2.0,0.2,0.0
locality,gist-960-euclidean,usearch,firsttouch,56,0.97813,0.6034352300000592,1657.1786834519123,2026-09-04T20:32:45.971666,2026-09-04T20:32:46.575125,False,1,25.0,25.0,24.0,25.0,26.0,0.39,10838.34,2683.13,2645.11,2647.47,2862.62,1.0,0.1,0.9240171591059939,0.11,19.84,17.45,0.0016,91.973662109375,150.534306640625,54.666666666666664,33.166666666666664,,,,,,,,,,,,,,,,,,,,,,7.2,33.0,2.0,0.2,0.0
locality,gist-960-euclidean,usearch,firsttouch,59,0.97813,0.5964655619999348,1676.5427272062846,2026-09-04T20:32:47.910777,2026-09-04T20:32:48.507266,False,1,25.0,25.0,25.0,25.0,27.0,0.39,11753.28,2817.62,2944.45,2860.36,3130.85,1.0,0.11,0.8999536866985004,0.1,21.32,18.88,0.0016,98.9442578125,161.43958984375,58.333333333333336,35.5,131.655009765625,121.8040625,9.85095703125,24.933974609375,32.36755859375,28.413896484375,36.0886328125,2.06076171875,2.417646484375,2.33087890625,3.04166015625,2.5604171752929688,0.4593505859375,0.5199012756347656,0.527984619140625,1.0531806945800781,15.515625,4.6015625,1.7265625,2.3671875,6.8203125,7.0,32.9,2.0,0.2,0.0
locality,gist-960-euclidean,usearch,firsttouch,61,0.97813,0.6007338429999436,1664.6307040172762,2026-09-04T20:32:49.198278,2026-09-04T20:32:49.799039,False,1,25.0,26.0,25.0,26.0,25.0,0.4,10975.85,2663.94,2684.01,2778.35,2849.55,1.0,0.1,0.934863399484129,0.1,19.95,17.65,0.0016,90.406923828125,149.024560546875,54.166666666666664,32.75,,,,,,,,,,,,,,,,,,,,,,6.8,32.8,2.0,0.2,0.0
locality,gist-960-euclidean,usearch,firsttouch,62,0.97813,0.5965703299999632,1676.248297497567,2026-09-04T20:32:49.845086,2026-09-04T20:32:50.441679,False,1,25.0,26.0,25.0,25.0,26.0,0.39,12114.45,2973.53,2982.58,2949.8,3208.53,1.0,0.12,0.9193618261322163,0.1,22.14,19.57,0.0016,102.013388671875,166.415224609375,60.5,36.916666666666664,130.693525390625,121.018779296875,9.67474609375,24.952470703125,32.093017578125,28.18603515625,35.787265625,2.034775390625,2.366455078125,2.265166015625,3.008349609375,2.5604705810546875,0.4593658447265625,0.5199203491210938,0.5280036926269531,1.0531806945800781,15.515625,4.6015625,1.7265625,2.3671875,6.8203125,7.7,32.9,2.0,0.2,0.0
locality,gist-960-euclidean,usearch,firsttouch,64,0.97813,0.5935661539999728,1684.7321789847974,2026-09-04T20:32:51.136217,2026-09-04T20:32:51.729806,False,1,26.0,26.0,25.0,26.0,25.0,0.4,10689.15,2676.31,2600.78,2652.69,2759.37,1.0,0.1,0.9425267361752865,0.1,19.46,17.16,0.0016,89.17037109375,146.958466796875,53.416666666666664,32.25,,,,,,,,,,,,,,,,,,,,,,6.9,32.8,2.0,0.2,0.0
locality,gist-960-euclidean,usearch,firsttouch,65,0.97813,0.5946758410000257,1681.588406750085,2026-09-04T20:32:51.775690,2026-09-04T20:32:52.370388,False,1,25.0,25.0,25.0,25.0,26.0,0.39,12367.2,3011.5,3032.93,3016.68,3306.09,1.0,0.12,0.9108947427323515,0.1,22.68,20.01,0.0016,103.000712890625,167.961689453125,61.0,37.166666666666664,132.219638671875,122.391953125,9.82767578125,25.070078125,32.49666015625,28.537412109375,36.287802734375,2.071044921875,2.432744140625,2.26716796875,3.05671875,2.560565948486328,0.4593925476074219,0.5199356079101562,0.5280227661132812,1.0532150268554688,15.515625,4.6015625,1.7265625,2.3671875,6.8203125,8.0,32.8,2.0,0.2,0.0
