label,dataset,runner_name,tag,run_id,recall,total_time,qps,start_time,end_time,samples,local_pct,local_pct_skt0,local_pct_skt1,lmb_gb_skt0,lmb_gb_skt1,rmb_gb_skt0,rmb_gb_skt1,ipc,inst,inst_skt0,inst_skt1,cpu_balance,llc_rd_miss_lat_ns,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_write_gb_skt0,mem_write_gb_skt1,warmup_s
ann,sift-128-euclidean,annoy,imbalanced-memory,26,0.976239,1.5017914550003295,6658.714142169496,2026-03-15T10:49:05.982882,2026-03-15T10:49:07.504065,2,55.0,54.5,74.0,44.95703125,0.259765625,0.0693359375,37.30517578125,0.31,52024.175,29455.485,22568.695,0.7661966862878,378.445,0.06,369.57500000000005,333.99,0.0063999999999999994,38.545786132812495,81.58734375,54.916666666666664,25.75,89.579404296875,77.58052734374999,11.998876953125,77.365908203125,0.2146142578125,11.91595703125,0.082919921875,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,27,0.976239,1.4630492289998074,6835.039998508018,2026-03-15T10:49:07.740432,2026-03-15T10:49:09.222611,2,55.5,55.5,74.5,45.623046875,0.24072265625,0.0625,37.0224609375,0.305,52456.770000000004,29999.745000000003,22457.025,0.7485738628778345,378.885,0.06,374.615,338.07500000000005,0.00645,38.039096679687496,81.27052734374999,54.916666666666664,25.5,73.70087890625,63.57701171875,10.1238671875,63.400302734375,0.176708984375,10.056728515625,0.067138671875,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,28,0.976239,1.4725495730003786,6790.942854049117,2026-03-15T10:49:09.460653,2026-03-15T10:49:10.952332,1,57.0,57.0,71.0,,0.1884765625,0.0,28.5107421875,0.32,42248.78,24858.49,17390.29,0.6995714542596916,365.56,0.06,299.84,270.53,0.0064,29.53126953125,65.35189453125,44.166666666666664,19.5,100.494140625,86.68576171875,13.80837890625,86.462421875,0.223330078125,13.72587890625,0.0825,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,29,0.976239,1.4753386869997485,6778.104640051173,2026-03-15T10:49:11.191055,2026-03-15T10:49:12.684231,1,56.0,56.0,76.0,46.71484375,0.259765625,0.060546875,36.455078125,0.29,54057.52,31143.37,22914.15,0.7357633422458778,395.47,0.06,385.46,346.68,0.0064,37.57435546875,80.632724609375,54.0,25.0,90.859326171875,78.6075146484375,12.2518115234375,78.400693359375,0.20682128906250002,12.1722607421875,0.0795458984375,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,30,0.976239,1.5044784900001105,6646.821517534137,2026-03-15T10:49:12.921395,2026-03-15T10:49:14.446329,2,56.0,56.0,74.5,45.5869140625,0.22802734375,0.0830078125,35.64697265625,0.305,51952.645000000004,29863.66,22088.985,0.7396610127492745,376.96,0.06,369.96000000000004,333.74,0.00645,36.9914892578125,79.7897412109375,53.666666666666664,24.75,86.5696484375,75.3031298828125,11.2665234375,75.109833984375,0.1932958984375,11.193544921874999,0.072978515625,0.0
ann,sift-128-euclidean,annoy,interleaved-memory,1,0.976239,4.210366353999234,2375.0902318752997,2026-03-15T11:10:17.763047,2026-03-15T11:10:21.973430,4,51.0,70.25,31.25,3.42529296875,3.658203125,4.423828125,3.6279296875,0.5225000000000001,9677.0975,5637.3625,4039.7375,0.7166006266228223,165.2075,0.5475000000000001,68.69,48.832499999999996,0.00265,7.66109619140625,13.95393798828125,9.041666666666666,4.75,17.86806884765625,13.3507421875,4.51732666015625,6.6673193359375,6.68342529296875,2.2441015625,2.2732275390625,0.0
ann,sift-128-euclidean,annoy,interleaved-memory,2,0.976239,1.0418063469996923,9598.712878644954,2026-03-15T11:10:22.212355,2026-03-15T11:10:23.275085,2,50.0,50.0,49.5,32.57666015625,32.7255859375,36.982421875,32.50732421875,0.46,74255.51000000001,37260.725000000006,36994.79,0.9928628602905605,220.26999999999998,0.06,554.77,503.84499999999997,0.0068000000000000005,67.8604345703125,109.62365234375,74.16666666666667,46.0,126.8335546875,106.080712890625,20.752841796875,53.03896484375,53.041748046875,10.32173828125,10.431103515625,0.0
ann,sift-128-euclidean,annoy,interleaved-memory,3,0.976239,1.0063091729998632,9937.303830978157,2026-03-15T11:10:23.504454,2026-03-15T11:10:24.529801,1,50.0,50.0,50.0,29.66796875,29.7666015625,30.0234375,29.4912109375,0.45,71133.17,36057.25,35075.92,0.9727841141518002,226.71,0.06,530.81,480.49,0.0068,61.691396484375,98.477275390625,66.0,41.0,135.945234375,115.0048828125,20.9403515625,57.41625,57.5886328125,10.426328125,10.5140234375,0.0
ann,sift-128-euclidean,annoy,interleaved-memory,4,0.976239,1.0226523319997796,9778.494300643864,2026-03-15T11:10:24.766503,2026-03-15T11:10:25.809958,1,50.0,50.0,50.0,27.017578125,27.171875,27.107421875,26.95703125,0.46,62258.15,31438.82,30819.33,0.9802953800428897,218.07,0.06,463.9,420.82,0.0068,56.488623046875,91.526474609375,62.0,38.0,120.740947265625,102.889033203125,17.851923828125,51.583447265625,51.305576171875,8.96091796875,8.891005859375,0.0
ann,sift-128-euclidean,annoy,interleaved-memory,5,0.976239,1.0231707369994183,9773.53987793504,2026-03-15T11:10:26.041852,2026-03-15T11:10:27.084866,1,50.0,50.0,50.0,28.1796875,28.2353515625,27.9814453125,27.8681640625,0.46,65084.51,32872.23,32212.28,0.9799237836921924,221.53,0.06,482.05,438.71,0.0067,58.319404296875,93.83115234375,63.5,39.0,125.132080078125,106.699248046875,18.432822265625,53.4099609375,53.28927734375,9.226279296875,9.20654296875,0.0
