tag,readratio,writeratio,benchmark,read_bw_gb,write_bw_gb,read_bw_std,write_bw_std,read_bw_wall_gb,write_bw_wall_gb,read_bw_wall_std,write_bw_wall_std,wall_s,nb_runs
repl,70,30,readwrite_random,78.2955940778,0.6877331611999999,1.602811613609419,0.021821730917585765,71.29513767134355,0.6264196351371656,3.2032270738065023,0.03562964260495985,33.0,5
unrepl-bound,70,30,readwrite_random,54.6649684712,18.847162499,16.43516804374587,1.6092724481514795,33.626281170808845,12.568795811796956,1.7331222023765744,4.252564931012235,48.6,5
unrepl-firsttouch,70,30,readwrite_random,74.7305144006,30.066499087,14.613343105363542,4.617781768180391,49.629283674770235,20.226776072335717,3.3400883971854642,2.5841054587346166,45.4,5
unrepl-interleaved,70,30,readwrite_random,92.62105047920001,38.16085700239999,6.8934474285474465,1.3519930974105903,73.20933884816606,30.39447983360866,12.294688332842155,6.302275612514705,39.2,5
default,60,40,readwrite_random,84.1077744946,52.696228477,9.831822901954915,7.553929165956361,55.532929739174605,35.033343470342274,10.3808065367863,8.220769428234053,46.4,5
interleaved,60,40,readwrite_random,92.47956016980001,59.2021918412,3.724893047453905,1.8429568597256696,62.356172744275206,39.980614255946385,3.8339094762087385,3.411962366675024,44.6,5
numabalancing,60,40,readwrite_random,88.25184193300001,55.2679952716,5.649834500320596,5.54419662473126,54.22892879735234,34.088275445358015,6.791955837783994,5.940081252114587,49.2,5
repl,60,40,readwrite_random,19.384590232,0.8399583552,1.8222384560614426,0.033916062996687285,16.884936641873335,0.7336793881245802,1.107086362560283,0.0477263730137386,34.4,5
unrepl-bound,60,40,readwrite_random,54.910812175800004,26.746732587400004,9.578807122932187,3.6511119378101293,27.18632188612646,13.270779505251522,4.474553627793836,1.9296541870877448,60.6,5
unrepl-firsttouch,60,40,readwrite_random,91.33664376499999,51.341163078399994,8.391527934615912,5.875162606132572,48.81661937038071,27.497377242357764,6.353814166764752,4.555062350000266,56.4,5
unrepl-interleaved,60,40,readwrite_random,78.88554586640001,50.1186589186,8.207889603657774,1.8954467635382815,60.64872580736036,39.101197822611304,10.535302018369329,9.283378167190389,40.6,5
default,50,50,readwrite_random,76.09682131219999,72.76840558,5.5307152422049874,6.174373180805004,47.525180180051905,45.49675636927755,4.899155758060056,5.652600726672543,48.2,5
interleaved,50,50,readwrite_random,80.93405636780001,78.27465231720001,4.444669271664239,2.761652869615252,54.53517326705486,52.76229393176122,3.8969506848380226,3.497505931965716,44.6,5
numabalancing,50,50,readwrite_random,74.73270982540001,67.8245268888,5.939508228137851,5.471749859094133,43.917931310033985,39.87716805186492,5.648238840636782,5.289690125255988,51.4,5
repl,50,50,readwrite_random,6.4046418162,0.9832329542,0.57050410076009,0.05211137830914551,5.686406458944537,0.8741120104407842,0.362019217079151,0.0419344597569874,33.8,5
unrepl-bound,50,50,readwrite_random,50.0992280794,40.4441871548,8.451451455615222,5.052441458232796,23.924574086699202,19.259516100150798,3.707412896290956,1.1441242552854898,63.2,5
unrepl-firsttouch,50,50,readwrite_random,80.9080713338,72.5481472438,2.515625121414492,2.520062434536692,44.40206109922712,39.787027102232344,3.1216675178324653,2.3011976865279524,54.8,5
unrepl-interleaved,50,50,readwrite_random,83.414071169,75.0031249342,1.7127032800373692,2.219506149884606,45.61299403461259,41.00299185538144,4.284294268338143,3.7876229771624064,55.2,5
default,40,60,readwrite_random,61.352387544600006,86.62207279079999,4.077224065549455,9.639859345443657,38.80258530098425,54.8662969347346,3.8323205148656507,7.816354254814376,47.6,5
interleaved,40,60,readwrite_random,64.9886865126,93.8894267588,4.567764787545897,4.852189543383643,42.02914315115594,60.753692103952076,2.7992146477556643,3.536381469591582,46.4,5
numabalancing,40,60,readwrite_random,59.517549949199996,87.5989828406,2.9210999616694444,5.3793457191768805,35.3090708521531,51.96325535242711,3.1081361197000006,4.997233349346072,50.8,5
