bench,compression,tag,phase,query,mean_s,std_s,n
clickbench,uncompressed,numa-balancing,warm,28,0.0927,0.0025,19
clickbench,uncompressed,numa-balancing,cold,29,17.7134,0.0,1
clickbench,uncompressed,numa-balancing,warm,29,5.0471,0.0382,19
clickbench,uncompressed,numa-balancing,cold,30,0.0454,0.0,1
clickbench,uncompressed,numa-balancing,warm,30,0.0444,0.0031,19
clickbench,uncompressed,numa-balancing,cold,31,1.3903,0.0,1
clickbench,uncompressed,numa-balancing,warm,31,0.1639,0.0047,19
clickbench,uncompressed,numa-balancing,cold,32,1.8098,0.0,1
clickbench,uncompressed,numa-balancing,warm,32,0.22,0.0037,19
clickbench,uncompressed,numa-balancing,cold,33,1.0081,0.0,1
clickbench,uncompressed,numa-balancing,warm,33,1.0435,0.0373,19
clickbench,uncompressed,numa-balancing,cold,34,0.7356,0.0,1
clickbench,uncompressed,numa-balancing,warm,34,0.7321,0.0145,19
clickbench,uncompressed,numa-balancing,cold,35,0.7494,0.0,1
clickbench,uncompressed,numa-balancing,warm,35,0.7672,0.017,19
clickbench,uncompressed,numa-balancing,cold,36,0.1811,0.0,1
clickbench,uncompressed,numa-balancing,warm,36,0.1842,0.0051,19
clickbench,uncompressed,numa-balancing,cold,37,0.0416,0.0,1
clickbench,uncompressed,numa-balancing,warm,37,0.0359,0.0076,19
clickbench,uncompressed,numa-balancing,cold,38,0.0172,0.0,1
clickbench,uncompressed,numa-balancing,warm,38,0.0265,0.0051,19
clickbench,uncompressed,numa-balancing,cold,39,0.0172,0.0,1
clickbench,uncompressed,numa-balancing,warm,39,0.017,0.0059,19
clickbench,uncompressed,numa-balancing,cold,40,0.0764,0.0,1
clickbench,uncompressed,numa-balancing,warm,40,0.0678,0.0089,19
clickbench,uncompressed,numa-balancing,cold,41,0.0427,0.0,1
clickbench,uncompressed,numa-balancing,warm,41,0.0177,0.0061,19
clickbench,uncompressed,numa-balancing,cold,42,0.0163,0.0,1
clickbench,uncompressed,numa-balancing,warm,42,0.0172,0.0053,19
clickbench,uncompressed,numa-balancing,cold,43,0.0203,0.0,1
clickbench,uncompressed,numa-balancing,warm,43,0.0176,0.004,19
clickbench,uncompressed,repl,cold,1,0.0717,0.0,1
clickbench,uncompressed,repl,warm,1,0.0011,0.0001,19
clickbench,uncompressed,repl,cold,2,0.8163,0.0,1
clickbench,uncompressed,repl,warm,2,0.0346,0.0037,19
clickbench,uncompressed,repl,cold,3,0.9676,0.0,1
clickbench,uncompressed,repl,warm,3,0.0085,0.0028,19
clickbench,uncompressed,repl,cold,4,3.6155,0.0,1
clickbench,uncompressed,repl,warm,4,0.0091,0.0008,19
clickbench,uncompressed,repl,cold,5,0.2632,0.0,1
clickbench,uncompressed,repl,warm,5,0.1477,0.0057,19
clickbench,uncompressed,repl,cold,6,5.0448,0.0,1
clickbench,uncompressed,repl,warm,6,0.1747,0.009,19
clickbench,uncompressed,repl,cold,7,0.0176,0.0,1
clickbench,uncompressed,repl,warm,7,0.0443,0.0037,19
clickbench,uncompressed,repl,cold,8,0.0235,0.0,1
clickbench,uncompressed,repl,warm,8,0.0129,0.0032,19
clickbench,uncompressed,repl,cold,9,1.8339,0.0,1
clickbench,uncompressed,repl,warm,9,0.1922,0.0087,19
clickbench,uncompressed,repl,cold,10,0.3688,0.0,1
clickbench,uncompressed,repl,warm,10,0.2868,0.0093,19
clickbench,uncompressed,repl,cold,11,2.036,0.0,1
clickbench,uncompressed,repl,warm,11,0.0712,0.0073,19
clickbench,uncompressed,repl,cold,12,0.9174,0.0,1
clickbench,uncompressed,repl,warm,12,0.0786,0.0092,19
clickbench,uncompressed,repl,cold,13,0.2202,0.0,1
clickbench,uncompressed,repl,warm,13,0.1413,0.0044,19
clickbench,uncompressed,repl,cold,14,0.3282,0.0,1
clickbench,uncompressed,repl,warm,14,0.2616,0.0062,19
clickbench,uncompressed,repl,cold,15,0.9463,0.0,1
clickbench,uncompressed,repl,warm,15,0.1476,0.0045,19
clickbench,uncompressed,repl,cold,16,0.1889,0.0,1
clickbench,uncompressed,repl,warm,16,0.167,0.0055,19
clickbench,uncompressed,repl,cold,17,0.3705,0.0,1
clickbench,uncompressed,repl,warm,17,0.3424,0.0084,19
clickbench,uncompressed,repl,cold,18,0.3483,0.0,1
clickbench,uncompressed,repl,warm,18,0.3338,0.0109,19
clickbench,uncompressed,repl,cold,19,3.4039,0.0,1
clickbench,uncompressed,repl,warm,19,0.6694,0.0254,19
clickbench,uncompressed,repl,cold,20,0.0093,0.0,1
clickbench,uncompressed,repl,warm,20,0.006,0.0008,19
clickbench,uncompressed,repl,cold,21,33.3338,0.0,1
clickbench,uncompressed,repl,warm,21,0.1673,0.0219,19
clickbench,uncompressed,repl,cold,22,0.382,0.0,1
clickbench,uncompressed,repl,warm,22,0.085,0.0252,19
clickbench,uncompressed,repl,cold,23,28.2628,0.0,1
clickbench,uncompressed,repl,warm,23,0.202,0.0885,19
clickbench,uncompressed,repl,cold,24,0.4632,0.0,1
clickbench,uncompressed,repl,warm,24,0.0494,0.0059,19
clickbench,uncompressed,repl,cold,25,0.013,0.0,1
clickbench,uncompressed,repl,warm,25,0.009,0.0009,19
clickbench,uncompressed,repl,cold,26,0.0472,0.0,1
clickbench,uncompressed,repl,warm,26,0.0421,0.0014,19
clickbench,uncompressed,repl,cold,27,0.0128,0.0,1
clickbench,uncompressed,repl,warm,27,0.0094,0.0009,19
clickbench,uncompressed,repl,cold,28,0.4273,0.0,1
clickbench,uncompressed,repl,warm,28,0.0709,0.0169,19
clickbench,uncompressed,repl,cold,29,17.5088,0.0,1
clickbench,uncompressed,repl,warm,29,4.1361,0.1822,19
clickbench,uncompressed,repl,cold,30,0.0414,0.0,1
clickbench,uncompressed,repl,warm,30,0.0345,0.002,19
clickbench,uncompressed,repl,cold,31,1.4377,0.0,1
clickbench,uncompressed,repl,warm,31,0.1378,0.0056,19
clickbench,uncompressed,repl,cold,32,1.8017,0.0,1
clickbench,uncompressed,repl,warm,32,0.195,0.0073,19
clickbench,uncompressed,repl,cold,33,0.9947,0.0,1
clickbench,uncompressed,repl,warm,33,0.9215,0.0255,19
clickbench,uncompressed,repl,cold,34,0.9549,0.0,1
clickbench,uncompressed,repl,warm,34,0.6684,0.0114,19
clickbench,uncompressed,repl,cold,35,0.9106,0.0,1
clickbench,uncompressed,repl,warm,35,0.7108,0.0128,19
clickbench,uncompressed,repl,cold,36,0.1662,0.0,1
clickbench,uncompressed,repl,warm,36,0.1583,0.0094,19
clickbench,uncompressed,repl,cold,37,0.0314,0.0,1
clickbench,uncompressed,repl,warm,37,0.0313,0.0053,19
clickbench,uncompressed,repl,cold,38,0.015,0.0,1
clickbench,uncompressed,repl,warm,38,0.0213,0.0041,19
clickbench,uncompressed,repl,cold,39,0.044,0.0,1
clickbench,uncompressed,repl,warm,39,0.0139,0.0052,19
clickbench,uncompressed,repl,cold,40,0.0637,0.0,1
